Ingrediente_A,Ingrediente_B,Resultado,Peligro,Mensaje_Usuario
ing_003,ing_004,Gas Cloramina,"MORTAL. Daño pulmonar severo.","¡PELIGRO EXTREMO! Estás intentando mezclar Lejía y Amoníaco. Esto crea vapores tóxicos que pueden matarte. NUNCA hagas esto."
ing_003,ing_001,Gas Cloro,"Alta toxicidad. Quemaduras químicas en pulmones.","¡ALTO! No mezcles Lejía con Vinagre (ni ningún ácido). Libera gas cloro, que es altamente venenoso."
ing_003,ing_014,Gas Cloro,"Alta toxicidad. Idéntico a mezclar con vinagre pero más rápido por la concentración.","¡PELIGRO! El Ácido Cítrico es muy fuerte y mezclado con Lejía libera gas cloro inmediatamente."
ing_005,ing_001,Ácido Peracético,Corrosivo e irritante.,"No mezcles Agua Oxigenada con Vinagre en el mismo envase. Crea un ácido corrosivo que puede dañar tu piel y pulmones."
ing_010,PIEL_DIRECTA,"Quemadura química / Sensibilización",Irritación severa.,"Nunca apliques Aceites Esenciales puros directamente sobre la piel. Siempre dilúyelos en un aceite portador (como coco u oliva)."
ing_003,ing_005,Gas Cloro,"MORTAL. Daño pulmonar severo.","¡PELIGRO EXTREMO! Estás intentando mezclar Lejía y Agua Oxigenada. Esto crea vapores tóxicos que pueden matarte. NUNCA hagas esto."
ing_003,ing_007,Gas Cloro,"Alta toxicidad. Quemaduras químicas en pulmones.","¡PELIGRO! No mezcles Lejía con Limón. Libera gas cloro, que es altamente venenoso."
ing_005,ing_014,Ácido Peracético,"Corrosivo e irritante.","No mezcles Agua Oxigenada con Ácido Cítrico en el mismo envase. Crea un ácido corrosivo que puede dañar tu piel y pulmones."
ing_006,ing_010,Inflamación,"Inflamable y tóxico.","No mezcles Alcohol Isopropílico con Aceite Esencial de Árbol de Té cerca de una fuente de calor. Puede provocar un incendio."
ing_003,ing_009,Precipitación,"Disminución de eficacia.","No mezcles Lejía con Jabón de Castilla. El jabón pierde su eficacia y se forman residuos sólidos."
ing_004,ing_001,Gas Cloramina,"MORTAL. Daño pulmonar severo.","¡PELIGRO EXTREMO! Estás intentando mezclar Amoníaco y Vinagre. Esto crea vapores tóxicos que pueden matarte. NUNCA hagas esto."
ing_003,ing_019,Gas Cloro,"Alta toxicidad. Quemaduras químicas en pulmones.","¡PELIGRO! No mezcles Lejía con Aloe Vera. Libera gas cloro, que es altamente venenoso."
ing_010,ing_017,Reacción Química,"Irritación severa.","No mezcles Aceite Esencial de Árbol de Té con Aceite Esencial de Lavanda sin diluir. Puede causar irritación severa en la piel."
ing_003,ing_002,Gas Cloro,"Alta toxicidad. Quemaduras químicas en pulmones.","¡PELIGRO! No mezcles Lejía con Bicarbonato de Sodio. Libera gas cloro, que es altamente venenoso."
ing_005,ing_006,Explosión,"Riesgo de explosión.","No mezcles Agua Oxigenada con Alcohol Isopropílico en un recipiente cerrado. Puede provocar una explosión."
ing_003,ing_022,Gas Cloro,"Alta toxicidad. Quemaduras químicas en pulmones.","¡PELIGRO! No mezcles Lejía con Vinagre de Manzana. Libera gas cloro, que es altamente venenoso."
ing_003,ing_023,Gas Cloro,"Alta toxicidad. Quemaduras químicas en pulmones.","¡PELIGRO! No mezcles Lejía con Bórax. Libera gas cloro, que es altamente venenoso."
ing_003,ing_025,Gas Cloro,"Alta toxicidad. Quemaduras químicas en pulmones.","¡PELIGRO! No mezcles Lejía con Lauril Sulfato de Sodio. Libera gas cloro, que es altamente venenoso."
ing_003,ing_027,Gas Cloro,"Alta toxicidad. Quemaduras químicas en pulmones.","¡PELIGRO! No mezcles Lejía con Ácido Sulfúrico. Libera gas cloro, que es altamente venenoso."
ing_003,ing_029,Gas Cloro,"Alta toxicidad. Quemaduras químicas en pulmones.","¡PELIGRO! No mezcles Lejía con Ácido Clorhídrico. Libera gas cloro, que es altamente venenoso."
ing_003,ing_031,Gas Cloro,"Alta toxicidad. Quemaduras químicas en pulmones.","¡PELIGRO! No mezcles Lejía con Ácido Acético Glacial. Libera gas cloro, que es altamente venenoso."
ing_003,ing_035,Gas Cloro,"Alta toxicidad. Quemaduras químicas en pulmones.","¡PELIGRO! No mezcles Lejía con Ácido Fosfórico. Libera gas cloro, que es altamente venenoso."
ing_003,ing_037,Gas Cloro,"Alta toxicidad. Quemaduras químicas en pulmones.","¡PELIGRO! No mezcles Lejía con Hidróxido de Potasio. Libera gas cloro, que es altamente venenoso."
ing_003,ing_038,Gas Cloro,"Alta toxicidad. Quemaduras químicas en pulmones.","¡PELIGRO! No mezcles Lejía con Tetraborato de Sodio. Libera gas cloro, que es altamente venenoso."
ing_003,ing_039,Gas Cloro,"Alta toxicidad. Quemaduras químicas en pulmones.","¡PELIGRO! No mezcles Lejía con Etilenglicol Monobutil Éter. Libera gas cloro, que es altamente venenoso."
ing_003,ing_040,Gas Cloro,"Alta toxicidad. Quemaduras químicas en pulmones.","¡PELIGRO! No mezcles Lejía con Cloruro de Metileno. Libera gas cloro, que es altamente venenoso."
ing_003,ing_041,Gas Cloro,"Alta toxicidad. Quemaduras químicas en pulmones.","¡PELIGRO! No mezcles Lejía con Hipoclorito de Sodio. Libera gas cloro, que es altamente venenoso."
ing_003,ing_042,Gas Cloro,"Alta toxicidad. Quemaduras químicas en pulmones.","¡PELIGRO! No mezcles Lejía con Ácido Nítrico. Libera gas cloro, que es altamente venenoso."
ing_003,ing_043,Gas Cloro,"Alta toxicidad. Quemaduras químicas en pulmones.","¡PELIGRO! No mezcles Lejía con Ácido Perclórico. Libera gas cloro, que es altamente venenoso."
ing_003,ing_044,Gas Cloro,"Alta toxicidad. Quemaduras químicas en pulmones.","¡PELIGRO! No mezcles Lejía con Ácido Sulfámico. Libera gas cloro, que es altamente venenoso."
ing_003,ing_045,Gas Cloro,"Alta toxicidad. Quemaduras químicas en pulmones.","¡PELIGRO! No mezcles Lejía con Ácido Oxálico. Libera gas cloro, que es altamente venenoso."
ing_003,ing_046,Gas Cloro,"Alta toxicidad. Quemaduras químicas en pulmones.","¡PELIGRO! No mezcles Lejía con Ácido Fórmico. Libera gas cloro, que es altamente venenoso."
ing_003,ing_047,Gas Cloro,"Alta toxicidad. Quemaduras químicas en pulmones.","¡PELIGRO! No mezcles Lejía con Ácido Láctico. Libera gas cloro, que es altamente venenoso."
ing_003,ing_048,Gas Cloro,"Alta toxicidad. Quemaduras químicas en pulmones.","¡PELIGRO! No mezcles Lejía con Ácido Tartárico. Libera gas cloro, que es altamente venenoso."
ing_003,ing_049,Gas Cloro,"Alta toxicidad. Quemaduras químicas en pulmones.","¡PELIGRO! No mezcles Lejía con Ácido Málico. Libera gas cloro, que es altamente venenoso."
ing_003,ing_050,Gas Cloro,"Alta toxicidad. Quemaduras químicas en pulmones.","¡PELIGRO! No mezcles Lejía con Ácido Ascórbico. Libera gas cloro, que es altamente venenoso."
ing_004,ing_009,Precipitación,"Disminución de eficacia.","No mezcles Amoníaco con Jabón de Castilla. El jabón pierde su eficacia y se forman residuos sólidos."
ing_006,ing_007,Reacción Química,"Irritación leve.","No mezcles Alcohol Isopropílico con Limón. Puede causar irritación en piel sensible."
ing_002,ing_014,Neutralización,"Pérdida de eficacia.","No mezcles Bicarbonato de Sodio con Ácido Cítrico. Se neutralizan entre sí, perdiendo sus propiedades limpiadoras."
ing_009,ing_001,Precipitación,"Disminución de eficacia.","No mezcles Jabón de Castilla con Vinagre. El ácido neutraliza el jabón, reduciendo su eficacia limpiadora y dejando un residuo blanco."
ing_014,ing_027,Reacción Violenta,"Explosión y salpicaduras.","No mezcles Ácido Cítrico con Ácido Sulfúrico. Puede generar una reacción violenta con liberación de calor y salpicaduras peligrosas."
ing_014,ing_029,Gas Tóxico,"Liberación de vapores irritantes.","No mezcles Ácido Cítrico con Ácido Clorhídrico. Puede liberar vapores tóxicos que irritan las vías respiratorias."
ing_014,ing_031,Neutralización,"Pérdida de eficacia.","No mezcles Ácido Cítrico con Ácido Acético Glacial. Se neutralizan entre sí, perdiendo sus propiedades ácidas."
ing_014,ing_035,Precipitación,"Formación de residuos sólidos.","No mezcles Ácido Cítrico con Ácido Fosfórico. Puede generar precipitados que obstruyen conductos."
ing_027,ing_029,Gas Tóxico,"Liberación de vapores tóxicos.","No mezcles Ácido Sulfúrico con Ácido Clorhídrico. Puede liberar vapores tóxicos peligrosos."
ing_027,ing_031,Reacción Violenta,"Explosión y salpicaduras.","No mezcles Ácido Sulfúrico con Ácido Acético Glacial. Puede generar una reacción violenta con liberación de calor."
ing_027,ing_035,Corrosión,"Daño severo a materiales.","No mezcles Ácido Sulfúrico con Ácido Fosfórico. Puede corroer materiales sensibles rápidamente."
ing_029,ing_031,Gas Tóxico,"Liberación de vapores irritantes.","No mezcles Ácido Clorhídrico con Ácido Acético Glacial. Puede liberar vapores tóxicos que irritan las vías respiratorias."
ing_029,ing_035,Reacción Violenta,"Liberación de calor y vapores.","No mezcles Ácido Clorhídrico con Ácido Fosfórico. Puede generar una reacción violenta con liberación de calor."
ing_031,ing_035,Neutralización,"Pérdida de eficacia.","No mezcles Ácido Acético Glacial con Ácido Fosfórico. Se neutralizan entre sí, perdiendo sus propiedades ácidas."
ing_003,ing_010,Envenenamiento,"Tóxico para humanos y mascotas.","No mezcles Lejía con Aceite Esencial de Árbol de Té. Puede liberar compuestos tóxicos que causan envenenamiento si se inhalan o entran en contacto con la piel."
ing_003,ing_017,Envenenamiento,"Tóxico para humanos y mascotas.","No mezcles Lejía con Aceite Esencial de Lavanda. Puede liberar compuestos tóxicos que causan envenenamiento si se inhalan o entran en contacto con la piel."
ing_005,ing_010,Envenenamiento,"Tóxico para humanos y mascotas.","No mezcles Agua Oxigenada con Aceite Esencial de Árbol de Té. Puede generar compuestos tóxicos que causan envenenamiento si se inhalan."
ing_005,ing_017,Envenenamiento,"Tóxico para humanos y mascotas.","No mezcles Agua Oxigenada con Aceite Esencial de Lavanda. Puede generar compuestos tóxicos que causan envenenamiento si se inhalan."
ing_006,ing_010,Envenenamiento,"Tóxico para humanos y mascotas.","No mezcles Alcohol Isopropílico con Aceite Esencial de Árbol de Té. Puede liberar vapores tóxicos que causan envenenamiento si se inhalan."
ing_006,ing_017,Envenenamiento,"Tóxico para humanos y mascotas.","No mezcles Alcohol Isopropílico con Aceite Esencial de Lavanda. Puede liberar vapores tóxicos que causan envenenamiento si se inhalan."
ing_003,ing_019,Envenenamiento,"Tóxico para humanos.","No mezcles Lejía con Aloe Vera. Puede generar compuestos tóxicos que causan envenenamiento si se inhalan."
ing_003,ing_021,Envenenamiento,"Tóxico para humanos.","No mezcles Lejía con Aceite de Almendras. Puede generar compuestos tóxicos que causan envenenamiento si se inhalan."
ing_003,ing_022,Envenenamiento,"Tóxico para humanos.","No mezcles Lejía con Vinagre de Manzana. Puede generar compuestos tóxicos que causan envenenamiento si se inhalan."
ing_003,ing_023,Envenenamiento,"Tóxico para humanos.","No mezcles Lejía con Bórax. Puede generar compuestos tóxicos que causan envenenamiento si se inhalan."